index,latitude,longitude
1,40.6811713,-75.1927395
2,40.6815068,-75.1884445
3,40.6815957,-75.1841767
4,40.6810864,-75.1801077
5,40.6796641,-75.1763937
6,40.6776623,-75.1729136
7,40.6759013,-75.1693379
8,40.674647,-75.1655696
9,40.6738754,-75.1616334
10,40.6735599,-75.1575551
11,40.6736742,-75.1533601
12,40.6741918,-75.1490743
13,40.6750863,-75.1447233
14,40.6763311,-75.1403328
15,40.6779,-75.1359284
16,40.6797664,-75.1315357
17,40.6819039,-75.1271806
18,40.6842861,-75.1228886
19,40.6868866,-75.1186854
20,40.6896788,-75.1145966
21,40.6926364,-75.110648
22,40.6957329,-75.1068653
23,40.6989419,-75.103274
24,40.7022369,-75.0998998
25,40.7055915,-75.0967685
26,40.7089793,-75.0939057
27,40.7123738,-75.091337
28,40.7157486,-75.0890881
29,40.7189114,-75.0870774
30,40.7200284,-75.08412
31,40.7203721,-75.0803715
32,40.7223654,-75.076897
33,40.7248629,-75.0735134
34,40.7272867,-75.0701045
35,40.7296348,-75.0666694
36,40.7319153,-75.0632093
37,40.7341361,-75.0597252
38,40.7363053,-75.0562184
39,40.7384308,-75.0526898
40,40.7405207,-75.0491406
41,40.742583,-75.0455719
42,40.7446257,-75.0419848
43,40.7466568,-75.0383805
44,40.7486843,-75.0347599
45,40.7507162,-75.0311244
46,40.7527605,-75.0274749
47,40.7548215,-75.0238106
48,40.7568617,-75.0201091
49,40.758819,-75.0163351
50,40.7606306,-75.0124532
51,40.7622555,-75.0084658
52,40.7636958,-75.0044514
53,40.7649591,-75.0004977
54,40.7660529,-74.9966926
55,40.7669845,-74.9931237
56,40.7668842,-74.9895654
57,40.7650863,-74.9856023
58,40.7635688,-74.9814867
59,40.7633813,-74.9773841
60,40.7640672,-74.9732879
61,40.7650546,-74.9691781
62,40.7657718,-74.9650347
63,40.7658197,-74.9608551
64,40.7656082,-74.9567173
65,40.765784,-74.9527232
66,40.7669289,-74.9489591
67,40.768692,-74.9452906
68,40.7703584,-74.9415108
69,40.7718467,-74.9375892
70,40.773214,-74.9335715
71,40.7750182,-74.9299393
72,40.7780507,-74.9273771
73,40.7813768,-74.9250563
74,40.7828429,-74.9211296
75,40.7850744,-74.918007
76,40.7887053,-74.9161677
77,40.7918735,-74.913746
78,40.7945224,-74.910742
79,40.7970393,-74.9076115
80,40.7996837,-74.9046395
81,40.8024575,-74.9017666
82,40.8053307,-74.8988949
83,40.8082657,-74.8959721
84,40.8112186,-74.892981
85,40.8141456,-74.8899051
86,40.8170028,-74.8867281
87,40.8197463,-74.8834336
88,40.8223322,-74.8800053
89,40.8247166,-74.8764269
90,40.8268556,-74.8726819
91,40.8287468,-74.8687814
92,40.8305559,-74.8648478
93,40.8324914,-74.8610318
94,40.8347502,-74.8574768
95,40.8373787,-74.8542311
96,40.8403147,-74.8512744
97,40.8434937,-74.848585
98,40.8468445,-74.8461101
99,40.850282,-74.8437319
100,40.853719,-74.8413246
101,40.8570769,-74.8387753
102,40.8603356,-74.8360607
103,40.8635001,-74.8331964
104,40.8665756,-74.8301982
105,40.8695674,-74.8270818
106,40.8724805,-74.8238628
107,40.8753202,-74.8205569
108,40.8780916,-74.8171799
109,40.8807999,-74.8137475
110,40.8834503,-74.8102753
111,40.8860479,-74.806779
112,40.8885979,-74.8032745
113,40.8911055,-74.7997773
114,40.8935759,-74.7963031
115,40.8960141,-74.7928678
116,40.8984255,-74.7894869
117,40.9008152,-74.7861762
118,40.903174,-74.7829451
119,40.9053072,-74.779723
120,40.9068939,-74.7763835
121,40.9083855,-74.7729371
122,40.9110156,-74.7695625
123,40.91335,-74.7660518
124,40.9149775,-74.762352
125,40.9159688,-74.7584823
126,40.9163945,-74.7544616
127,40.9163252,-74.7503093
128,40.9158314,-74.7460444
129,40.9149839,-74.741686
130,40.9138532,-74.7372533
131,40.9125099,-74.7327654
132,40.9110247,-74.7282414
133,40.9094681,-74.7237005
134,40.9079108,-74.7191619
135,40.9064233,-74.7146445
136,40.9050763,-74.7101676
137,40.9039405,-74.7057503
138,40.9030863,-74.7014118
139,40.9025844,-74.697171
140,40.9025054,-74.6930473
141,40.9029199,-74.6890597
142,40.9038986,-74.6852274
143,40.905509,-74.681567
144,40.9075784,-74.6778992
145,40.9095116,-74.6737199
146,40.909774,-74.6697737
147,40.9073878,-74.6672193
148,40.9041449,-74.6647802
149,40.9004212,-74.6622899
150,40.896416,-74.6597252
151,40.8923285,-74.6570625
152,40.888358,-74.6542783
153,40.8847037,-74.6513491
154,40.8815648,-74.6482515
155,40.8791407,-74.6449619
156,40.8776305,-74.641457
157,40.8772332,-74.6377133
158,40.8780429,-74.633787
159,40.879883,-74.6299388
160,40.8825338,-74.626462
161,40.885721,-74.6235225
162,40.8889412,-74.6207563
163,40.8916316,-74.6176616
164,40.8934854,-74.6139237
165,40.8957034,-74.6103328
166,40.8987675,-74.6073723
167,40.9011016,-74.6043525
168,40.9022139,-74.6010227
169,40.9022858,-74.5974221
170,40.9015045,-74.5935924
